file,age,age_err
sn2003ae-20030310.26-fast.flm,-8.9,0.13
sn2001V-20010220.29-fast.flm,-2.09,55.65
sn2002aw-20020218.52-fast.flm,-4.44,0.05
sn2000fo-20010104.09-fast.flm,8.98,0.13
sn1996bv-19970102.33-fast.flm,40.82,0.21
sn2005lu-20051227.18-fast.flm,-6.42,0.07
sn2001en-20011015.31-fast.flm,4.27,0.02
sn2008ar-20080302.40-fast.flm,-9.42,0.15
snf20080514-002-20080610.21-fast.flm,13.65,0.04
sn1998ab-19980518.22-fast.flm,34.71,0.04
sn1999aa-19990324.18-fast.flm,27.02,0.04
sn1998bp-19980430.47-fast.flm,-3.63,0.04
sn2003ek-20030526.35-fast.flm,-10.41,0.39
sn2007su-20071231.09-fast.flm,5.51,0.03
sn2003ch-20030402.03-ldss2.flm,3.56,0.02
sn1998cs-19980701.20-fast.flm,-15.47,0.21
sn1998bu-19980627.20-fast.flm,39.43,0.02
sn2004L-20040214.46-fast.flm,-7.17,0.07
sn2001eh-20011019.39-fast.flm,28.13,0.18
