snid_bias,snid_spread,snid_rmse,snid_mad,snid_coverage_1sigma,snid_coverage_2sigma,snid_chi2_red,snid_snid_err,dyn_bias,dyn_spread,dyn_rmse,dyn_mad,dyn_coverage_1sigma,dyn_coverage_2sigma,dyn_chi2_red,count,bin_center
12.21745544159619,,12.21745544159619,12.21745544159619,0.0,0.0,80.84604720996819,1.1664,-6.6138674465526215,,6.6138674465526215,6.6138674465526215,0.0,0.0,90.04131277056295,1.0,-14.0
7.178633136423713,3.2488249356174825,7.827881232851467,6.954676045173043,0.0,0.0,48.415424538757335,1.0449,-4.782518403256462,4.639541601512267,6.537739110928202,5.561060034672854,0.0,0.0,6660285047.638774,13.0,-12.0
5.981808374196248,2.640731481059981,6.5203550476743555,5.622048322407405,0.0,0.0,44.43143647660966,0.9685551724137933,-3.8974856907075304,5.17156879480621,6.404160589837491,4.696062737918382,0.034482758620689655,0.06896551724137931,382285885.92280775,29.0,-10.0
4.939405848656094,2.6405975126400416,5.589809645717841,4.935444888606689,0.07142857142857142,0.25,23.462456628009516,1.1479,-2.580298753770463,9.775872407123162,10.025919271627812,3.806888861062538,0.07142857142857142,0.10714285714285714,162561141.2955022,56.0,-8.0
2.638624452348409,2.1544783894238435,3.3956497359053337,2.6002560633824245,0.2857142857142857,0.49206349206349204,11.330006057022631,1.1177952380952378,-1.7348323703061195,10.35122230102367,10.41425406347024,3.5093590741209155,0.1111111111111111,0.2222222222222222,1210853673.0004249,63.0,-6.0
1.0475750330014522,1.8125016882609042,2.0832453944155627,,0.34615384615384615,0.6538461538461539,4.450070596482234,1.0262974025974028,-2.4463873553467193,9.780421195151627,10.020732642050248,3.6823280487220815,0.11538461538461539,0.21794871794871795,1454582536.5089676,78.0,-4.0
0.13959317355746745,1.9584452391288303,1.9514659935436285,1.0526356969914454,0.47560975609756095,0.7804878048780488,3.1641761968698736,1.0657475609756097,-0.5683127673869147,10.943493349669406,10.891397418215593,4.550608344191437,0.06097560975609756,0.12195121951219512,1406.2302222250585,82.0,-2.0
-0.4008332120390269,2.0592776631986998,2.0875871429741313,,0.47474747474747475,0.7070707070707071,4.8063007018179755,1.0095612244897958,2.9117930968683647,11.763776010475915,12.060975183479204,2.4832707614594915,0.10101010101010101,0.20202020202020202,21074.89869731221,99.0,0.0
-1.3568600646741853,2.041118874382266,2.4430840920759516,1.527693822618291,0.35185185185185186,0.6851851851851852,4.3551252122467226,1.0800203703703704,0.7694614195012763,8.956241268220133,8.947826770940397,1.9496449639947089,0.08333333333333333,0.23148148148148148,26786402892.091373,108.0,2.0
-1.434278821421467,2.191298599617963,2.6101291609563253,,0.38095238095238093,0.7428571428571429,4.647003062502213,1.002010576923077,0.7089617040081098,9.657532122512938,9.637545715926487,1.6272292457625044,0.12380952380952381,0.34285714285714286,7069.005741865453,105.0,4.0
-0.9267809112228107,1.9068875359485324,2.111316207314399,0.9262495080679765,0.4845360824742268,0.7010309278350515,4.849821915967121,0.6363896907216494,-0.20543438614419662,8.751713377054207,8.708907913896388,1.2896469926370235,0.20618556701030927,0.3711340206185567,750.6770753958608,97.0,6.0
-0.40228328995363566,0.9876013784886601,1.0601923576209697,0.6373262264488031,0.527027027027027,0.7837837837837838,2.549060393764684,0.42751891891891897,1.9482574970817104,10.000695512970324,10.122157807686712,1.5217111028696344,0.1891891891891892,0.3108108108108108,1461.7772843945108,74.0,8.0
-0.6970861390570419,0.7949224596307665,1.0527376376163873,0.9040943065509133,0.30303030303030304,0.6515151515151515,4.063659516724965,0.40244545454545455,1.2372121959066313,6.746884258156843,6.808923370498215,1.781765246154925,0.15151515151515152,0.22727272727272727,17942.068443224052,66.0,10.0
0.6625779863302074,3.8281961555002333,3.85301234206768,1.0253840094579854,0.3728813559322034,0.6779661016949152,10.43716184841879,0.533477966101695,3.024804086481526,4.796221047308679,5.635892321546042,2.6429105489242986,0.1016949152542373,0.1864406779661017,8081.953033129771,59.0,12.0
0.22080310813665233,3.145298317007062,3.111481319611975,1.0886640471532782,0.2631578947368421,0.7368421052631579,9.422524564672907,0.6158631578947368,2.464896294394341,4.945533956256847,5.467209546017901,2.323787318012192,0.15789473684210525,0.2894736842105263,308.7910197289007,38.0,14.0
0.5136429907462033,3.048464491795657,3.057850675185416,1.3616555566633437,0.28888888888888886,0.7555555555555555,7.035356111637103,0.9865155555555554,0.6062891786276536,6.8186518981843305,6.769667641184309,2.1683076664394374,0.15555555555555556,0.2,230.45363986938344,45.0,16.0
0.08580496098247326,2.3093132100587503,2.274562817123064,1.1353412141471821,0.40625,0.65625,5.679210106264853,0.8714375,1.0208552394894608,4.041769959298616,4.107012638312706,2.752778927470472,0.0625,0.1875,1348.6137430509516,32.0,18.0
0.9476014926837165,3.1772795721373424,3.266099432748815,1.8980922098551822,0.2903225806451613,0.5161290322580645,6.018508661336352,1.1700580645161287,0.10679015689365809,8.088979899074474,7.958159542650828,2.6014509520579985,0.12903225806451613,0.22580645161290322,918.98697474802,31.0,20.0
0.24468091195817732,3.568649966845376,3.5209592980797,,0.30303030303030304,0.45454545454545453,6.976316784175403,1.638396875,-0.1516138399942672,8.780571338547478,8.647838090259032,3.151099196711197,0.06060606060606061,0.09090909090909091,1047.0858732912122,33.0,22.0
2.2119591010779986,4.4993328947320546,4.885847908127984,3.171441908703617,0.375,0.375,9.513731071489104,1.3696562499999998,0.12454574620112124,12.18287562811014,11.796676080670853,4.2997535460537595,0.0625,0.1875,1718.599917267276,16.0,24.0
